,ID Acometida,geometry,Sector GIS,Sector Contratos,Problemas,Sugerencias
5045,1339125,POINT (444791.8217000002 4110478.236199999),,JUEVES,Falta sector: Punto fuera de los polígonos de los sectores,"Añadir punto a polígono GIS, se sugiere el polígono de contratos, en este caso: JUEVES"
5047,1339168,POINT (444798.6158999996 4110490.4200999998),JUEVES,FUD-400,Sectores no definidos: El ID de sectores de contratos no existe en los sectores GIS disponibles,Crear sector en GIS y añadirlo al archivo sectores
5048,1342132,POINT (444298.2845999999 4110369.196799999),ESPAÑA,ESPAÑA,Acometidas duplicadas: Un mismo ID de acometida tiene varios puntos geométricos asociados,"Distancia menor de 25 metros, unificar en AQUACIS"
5055,3145212,POINT (445076.92650000006 4110672.8014),PARQUE 28 DE FEBRERO,PONIENTE,Sectores no parejos: El ID de sectores de contratos no coincide con la posición de las acometidas según los sectores especificados,"Tomar sector GIS, en este caso: PARQUE 28 DE FEBRERO"
5069,1342451,POINT (444058.72979999986 4111126.0647),MANUEL GALERA,MANUEL GALERA,Acometidas duplicadas: Un mismo ID de acometida tiene varios puntos geométricos asociados,"Distancia menor de 25 metros, unificar en AQUACIS"
5071,1342451,POINT (444086.4848999996 4111126.5316000003),MANUEL GALERA,MANUEL GALERA,Acometidas duplicadas: Un mismo ID de acometida tiene varios puntos geométricos asociados,"Distancia menor de 25 metros, unificar en AQUACIS"
5083,1339274,POINT (444191.2095999997 4111086.132200001),MANUEL GALERA,MANUEL GALERA,Acometidas duplicadas: Un mismo ID de acometida tiene varios puntos geométricos asociados,"Distancia menor de 25 metros, unificar en AQUACIS"
5097,1338598,POINT (444510.0338000003 4110443.2004000004),SANTA TERESA,ESPAÑA,Sectores no parejos: El ID de sectores de contratos no coincide con la posición de las acometidas según los sectores especificados,"Tomar sector GIS, en este caso: SANTA TERESA"
5099,1338601,POINT (444514.5329 4110314.5106000006),ESPAÑA,SANTA TERESA,Sectores no parejos: El ID de sectores de contratos no coincide con la posición de las acometidas según los sectores especificados,"Tomar sector GIS, en este caso: ESPAÑA"
5109,1338606,POINT (444517.1967000002 4110289.6295999996),ESPAÑA,SANTA TERESA,Sectores no parejos: El ID de sectores de contratos no coincide con la posición de las acometidas según los sectores especificados,"Tomar sector GIS, en este caso: ESPAÑA"
5123,1338625,POINT (444210.56630000006 4110286.1766999997),ESPAÑA,PONIENTE,Sectores no parejos: El ID de sectores de contratos no coincide con la posición de las acometidas según los sectores especificados,"Tomar sector GIS, en este caso: ESPAÑA"
5143,1338642,POINT (444129.72339999955 4110499.954500001),PONIENTE,ESPAÑA,Sectores no parejos: El ID de sectores de contratos no coincide con la posición de las acometidas según los sectores especificados,"Tomar sector GIS, en este caso: PONIENTE"
5155,1338661,POINT (444123.0840999996 4110593.6328),PONIENTE,PARQUE 28 DE FEBRERO,Sectores no parejos: El ID de sectores de contratos no coincide con la posición de las acometidas según los sectores especificados,"Tomar sector GIS, en este caso: PONIENTE"
5191,1338778,POINT (444555.45050000027 4110258.8388),SANTA TERESA,SANTA TERESA,Acometidas duplicadas: Un mismo ID de acometida tiene varios puntos geométricos asociados,"Distancia menor de 25 metros, unificar en AQUACIS"
5193,1338778,POINT (444552.8178000003 4110252.4893999994),SANTA TERESA,SANTA TERESA,Acometidas duplicadas: Un mismo ID de acometida tiene varios puntos geométricos asociados,"Distancia menor de 25 metros, unificar en AQUACIS"
5300,1339169,POINT (444754.5195000004 4110431.4506),SANTA TERESA,FUD-400,Sectores no definidos: El ID de sectores de contratos no existe en los sectores GIS disponibles,Crear sector en GIS y añadirlo al archivo sectores
5301,1339182,POINT (444689.1046000002 4110263.0895000007),SANTA TERESA,FUD-400,Sectores no definidos: El ID de sectores de contratos no existe en los sectores GIS disponibles,Crear sector en GIS y añadirlo al archivo sectores
5302,1339183,POINT (444688.0020000003 4110260.1633),SANTA TERESA,FUD-400,Sectores no definidos: El ID de sectores de contratos no existe en los sectores GIS disponibles,Crear sector en GIS y añadirlo al archivo sectores
5303,1339184,POINT (444684.96779999975 4110252.1106000002),SANTA TERESA,FUD-400,Sectores no definidos: El ID de sectores de contratos no existe en los sectores GIS disponibles,Crear sector en GIS y añadirlo al archivo sectores
5304,1339185,POINT (444683.38800000027 4110247.9177),SANTA TERESA,FUD-400,Sectores no definidos: El ID de sectores de contratos no existe en los sectores GIS disponibles,Crear sector en GIS y añadirlo al archivo sectores
5305,1339186,POINT (444680.8487 4110241.178200001),SANTA TERESA,FUD-400,Sectores no definidos: El ID de sectores de contratos no existe en los sectores GIS disponibles,Crear sector en GIS y añadirlo al archivo sectores
5306,1339192,POINT (444662.6297000004 4110192.8244000003),SANTA TERESA,FUD-400,Sectores no definidos: El ID de sectores de contratos no existe en los sectores GIS disponibles,Crear sector en GIS y añadirlo al archivo sectores
5307,1339200,POINT (444631.5432000002 4110110.3209000006),SANTA TERESA,FUD-400,Sectores no definidos: El ID de sectores de contratos no existe en los sectores GIS disponibles,Crear sector en GIS y añadirlo al archivo sectores
5308,1339203,POINT (444614.7133999998 4110065.6575000007),SANTA TERESA,FUD-400,Sectores no definidos: El ID de sectores de contratos no existe en los sectores GIS disponibles,Crear sector en GIS y añadirlo al archivo sectores
5309,1339204,POINT (444611.15890000015 4110056.1218999997),SANTA TERESA,FUD-400,Sectores no definidos: El ID de sectores de contratos no existe en los sectores GIS disponibles,Crear sector en GIS y añadirlo al archivo sectores
5310,1339207,POINT (444593.3680999996 4110008.3956000004),SANTA TERESA,FUD-400,Sectores no definidos: El ID de sectores de contratos no existe en los sectores GIS disponibles,Crear sector en GIS y añadirlo al archivo sectores
5311,1339208,POINT (444589.7142000003 4109998.5934999995),SANTA TERESA,FUD-400,Sectores no definidos: El ID de sectores de contratos no existe en los sectores GIS disponibles,Crear sector en GIS y añadirlo al archivo sectores
5312,1339211,POINT (444567.79470000044 4109939.793400001),SANTA TERESA,FUD-400,Sectores no definidos: El ID de sectores de contratos no existe en los sectores GIS disponibles,Crear sector en GIS y añadirlo al archivo sectores
5387,1339406,POINT (444484.28560000006 4110165.9868),SANTA TERESA,SANTA TERESA,Acometidas duplicadas: Un mismo ID de acometida tiene varios puntos geométricos asociados,"Distancia menor de 25 metros, unificar en AQUACIS"
5388,1339406,POINT (444482.6046000002 4110162.0331999995),SANTA TERESA,SANTA TERESA,Acometidas duplicadas: Un mismo ID de acometida tiene varios puntos geométricos asociados,"Distancia menor de 25 metros, unificar en AQUACIS"
5420,1339451,POINT (444237.80229999963 4110349.111199999),ESPAÑA,JUEVES,Sectores no parejos: El ID de sectores de contratos no coincide con la posición de las acometidas según los sectores especificados,"Tomar sector GIS, en este caso: ESPAÑA"
5461,1339538,POINT (444295.0462999996 4110597.2902000006),ESPAÑA,SANTA TERESA,Sectores no parejos: El ID de sectores de contratos no coincide con la posición de las acometidas según los sectores especificados,"Tomar sector GIS, en este caso: ESPAÑA"
5466,1339560,POINT (444422.0310000004 4110534.7250999995),ESPAÑA,SANTA TERESA,Sectores no parejos: El ID de sectores de contratos no coincide con la posición de las acometidas según los sectores especificados,"Tomar sector GIS, en este caso: ESPAÑA"
5474,1339579,POINT (444633.3108999999 4110707.4340000004),JUEVES,JUEVES,Acometidas duplicadas: Un mismo ID de acometida tiene varios puntos geométricos asociados,"Distancia menor de 25 metros, unificar en AQUACIS"
5486,1339579,POINT (444637.28500000015 4110703.7182),JUEVES,JUEVES,Acometidas duplicadas: Un mismo ID de acometida tiene varios puntos geométricos asociados,"Distancia menor de 25 metros, unificar en AQUACIS"
5498,1339579,POINT (444639.16619999986 4110701.9594),JUEVES,JUEVES,Acometidas duplicadas: Un mismo ID de acometida tiene varios puntos geométricos asociados,"Distancia menor de 25 metros, unificar en AQUACIS"
5510,1339579,POINT (444644.0756999999 4110697.368899999),JUEVES,JUEVES,Acometidas duplicadas: Un mismo ID de acometida tiene varios puntos geométricos asociados,"Distancia menor de 25 metros, unificar en AQUACIS"
5522,1339579,POINT (444646.6788999997 4110694.934800001),JUEVES,JUEVES,Acometidas duplicadas: Un mismo ID de acometida tiene varios puntos geométricos asociados,"Distancia menor de 25 metros, unificar en AQUACIS"
5534,1339579,POINT (444647.07710000034 4110694.5624),JUEVES,JUEVES,Acometidas duplicadas: Un mismo ID de acometida tiene varios puntos geométricos asociados,"Distancia menor de 25 metros, unificar en AQUACIS"
5546,1339579,POINT (444647.50650000013 4110694.1609000005),JUEVES,JUEVES,Acometidas duplicadas: Un mismo ID de acometida tiene varios puntos geométricos asociados,"Distancia menor de 25 metros, unificar en AQUACIS"
5558,1339579,POINT (444647.21520000044 4110694.4333999995),JUEVES,JUEVES,Acometidas duplicadas: Un mismo ID de acometida tiene varios puntos geométricos asociados,"Distancia menor de 25 metros, unificar en AQUACIS"
5570,1339579,POINT (444645.2050000001 4110696.312999999),JUEVES,JUEVES,Acometidas duplicadas: Un mismo ID de acometida tiene varios puntos geométricos asociados,"Distancia menor de 25 metros, unificar en AQUACIS"
5582,1339579,POINT (444641.8043999998 4110699.4924999997),JUEVES,JUEVES,Acometidas duplicadas: Un mismo ID de acometida tiene varios puntos geométricos asociados,"Distancia menor de 25 metros, unificar en AQUACIS"
5594,1339579,POINT (444635.5047000004 4110705.3828),JUEVES,JUEVES,Acometidas duplicadas: Un mismo ID de acometida tiene varios puntos geométricos asociados,"Distancia menor de 25 metros, unificar en AQUACIS"
5606,1339579,POINT (444630.6571000004 4110709.9154000003),JUEVES,JUEVES,Acometidas duplicadas: Un mismo ID de acometida tiene varios puntos geométricos asociados,"Distancia menor de 25 metros, unificar en AQUACIS"
5619,1339581,POINT (444648.4313000003 4110731.3249999993),JUEVES,JUEVES,Acometidas duplicadas: Un mismo ID de acometida tiene varios puntos geométricos asociados,"Distancia menor de 25 metros, unificar en AQUACIS"
5629,1339581,POINT (444656.8909 4110723.034600001),JUEVES,JUEVES,Acometidas duplicadas: Un mismo ID de acometida tiene varios puntos geométricos asociados,"Distancia menor de 25 metros, unificar en AQUACIS"
5639,1339581,POINT (444660.95160000026 4110719.055400001),JUEVES,JUEVES,Acometidas duplicadas: Un mismo ID de acometida tiene varios puntos geométricos asociados,"Distancia menor de 25 metros, unificar en AQUACIS"
5649,1339581,POINT (444662.59449999966 4110717.4452),JUEVES,JUEVES,Acometidas duplicadas: Un mismo ID de acometida tiene varios puntos geométricos asociados,"Distancia menor de 25 metros, unificar en AQUACIS"
5659,1339581,POINT (444662.93709999975 4110717.1095000003),JUEVES,JUEVES,Acometidas duplicadas: Un mismo ID de acometida tiene varios puntos geométricos asociados,"Distancia menor de 25 metros, unificar en AQUACIS"
5669,1339581,POINT (444659.0745000001 4110720.8948),JUEVES,JUEVES,Acometidas duplicadas: Un mismo ID de acometida tiene varios puntos geométricos asociados,"Distancia menor de 25 metros, unificar en AQUACIS"
5679,1339581,POINT (444654.8976999996 4110724.988),JUEVES,JUEVES,Acometidas duplicadas: Un mismo ID de acometida tiene varios puntos geométricos asociados,"Distancia menor de 25 metros, unificar en AQUACIS"
5689,1339581,POINT (444650.2764999997 4110729.516899999),JUEVES,JUEVES,Acometidas duplicadas: Un mismo ID de acometida tiene varios puntos geométricos asociados,"Distancia menor de 25 metros, unificar en AQUACIS"
5703,1339591,POINT (444641.76669999957 4110731.8287000004),JUEVES,JUEVES,Acometidas duplicadas: Un mismo ID de acometida tiene varios puntos geométricos asociados,"Distancia mayor de 25 metros, comprobar en GIS y AQUACIS"
5725,1339730,POINT (444499.0231999997 4110816.0046999995),JUEVES,JUEVES,Acometidas duplicadas: Un mismo ID de acometida tiene varios puntos geométricos asociados,"Distancia menor de 25 metros, unificar en AQUACIS"
5729,1339730,POINT (444507.41000000015 4110811.3724000007),JUEVES,JUEVES,Acometidas duplicadas: Un mismo ID de acometida tiene varios puntos geométricos asociados,"Distancia menor de 25 metros, unificar en AQUACIS"
5793,1340053,POINT (444814.05260000005 4110605.2358),JUEVES,PARQUE 28 DE FEBRERO,Sectores no parejos: El ID de sectores de contratos no coincide con la posición de las acometidas según los sectores especificados,"Tomar sector GIS, en este caso: JUEVES"
5968,1340449,POINT (444411.81379999965 4110379.5731000006),ESPAÑA,ESPAÑA,Acometidas duplicadas: Un mismo ID de acometida tiene varios puntos geométricos asociados,"Distancia menor de 25 metros, unificar en AQUACIS"
5970,1340449,POINT (444430.9177000001 4110379.8642999995),ESPAÑA,ESPAÑA,Acometidas duplicadas: Un mismo ID de acometida tiene varios puntos geométricos asociados,"Distancia menor de 25 metros, unificar en AQUACIS"
5997,1340476,POINT (444298.7187999999 4110406.1282),ESPAÑA,ESPAÑA,Acometidas duplicadas: Un mismo ID de acometida tiene varios puntos geométricos asociados,"Distancia menor de 25 metros, unificar en AQUACIS"
6005,1340500,POINT (444465.19400000013 4110277.7531000003),ESPAÑA,ESPAÑA,Acometidas duplicadas: Un mismo ID de acometida tiene varios puntos geométricos asociados,"Distancia menor de 25 metros, unificar en AQUACIS"
6007,1340500,POINT (444472.2171 4110274.207699999),ESPAÑA,ESPAÑA,Acometidas duplicadas: Un mismo ID de acometida tiene varios puntos geométricos asociados,"Distancia menor de 25 metros, unificar en AQUACIS"
6013,1340519,POINT (444348.14269999973 4110166.5622000005),ESPAÑA,SANTA TERESA,Sectores no parejos: El ID de sectores de contratos no coincide con la posición de las acometidas según los sectores especificados,"Tomar sector GIS, en este caso: ESPAÑA"
6014,1340522,POINT (444344.57990000024 4110167.8115999997),ESPAÑA,SANTA TERESA,Sectores no parejos: El ID de sectores de contratos no coincide con la posición de las acometidas según los sectores especificados,"Tomar sector GIS, en este caso: ESPAÑA"
