,ID Acometida,geometry,Sector GIS,Sector Contratos,Problemas,Sugerencias
596,1341317,POINT (444583.69820000045 4111080.7618000004),JUEVES,JUEVES,Acometidas duplicadas: Un mismo ID de acometida tiene varios puntos geométricos asociados,"Distancia menor de 25 metros, unificar en AQUACIS"
649,1343253,POINT (444773.4912999999 4111190.8225999996),PARQUE 28 DE FEBRERO,PONIENTE,Sectores no parejos: El ID de sectores de contratos no coincide con la posición de las acometidas según los sectores especificados,"Tomar sector GIS, en este caso: PARQUE 28 DE FEBRERO"
669,1342543,POINT (444845.88489999995 4111095.5999999996),PARQUE 28 DE FEBRERO,PARQUE 28 DE FEBRERO,Acometidas duplicadas: Un mismo ID de acometida tiene varios puntos geométricos asociados,"Distancia menor de 25 metros, unificar en AQUACIS"
708,1340916,POINT (444963.51219999976 4111989.374399999),CAMPO DE FUTBOL,CAMPO DE FUTBOL,Acometidas duplicadas: Un mismo ID de acometida tiene varios puntos geométricos asociados,"Distancia mayor de 25 metros, comprobar en GIS y AQUACIS"
724,1344585,POINT (445683.0437000003 4112128.0966),,CAMPO DE FUTBOL,Falta sector: Punto fuera de los polígonos de los sectores,"Añadir punto a polígono GIS, se sugiere el polígono de contratos, en este caso: CAMPO DE FUTBOL"
727,1343764,POINT (445045.3646 4111252.7069000006),PARQUE 28 DE FEBRERO,PARQUE 28 DE FEBRERO,Acometidas duplicadas: Un mismo ID de acometida tiene varios puntos geométricos asociados,"Distancia menor de 25 metros, unificar en AQUACIS"
797,1343370,POINT (444891.1309000002 4111262.732000001),PARQUE 28 DE FEBRERO,PARQUE 28 DE FEBRERO,Acometidas duplicadas: Un mismo ID de acometida tiene varios puntos geométricos asociados,"Distancia menor de 25 metros, unificar en AQUACIS"
800,1340053,POINT (444760.81879999954 4111224.1516999993),PARQUE 28 DE FEBRERO,PARQUE 28 DE FEBRERO,Acometidas duplicadas: Un mismo ID de acometida tiene varios puntos geométricos asociados,"Distancia mayor de 25 metros, comprobar en GIS y AQUACIS"
826,1339780,POINT (444292.8178000003 4111289.0442999993),MANUEL GALERA,MANUEL GALERA,Acometidas duplicadas: Un mismo ID de acometida tiene varios puntos geométricos asociados,"Distancia menor de 25 metros, unificar en AQUACIS"
834,1344555,POINT (444793.2901999997 4111318.7634999994),PARQUE 28 DE FEBRERO,PARQUE 28 DE FEBRERO,Acometidas duplicadas: Un mismo ID de acometida tiene varios puntos geométricos asociados,"Distancia menor de 25 metros, unificar en AQUACIS"
848,1340580,POINT (444961.8426999999 4110576.6822999995),JUEVES,JUEVES,Acometidas duplicadas: Un mismo ID de acometida tiene varios puntos geométricos asociados,"Distancia mayor de 25 metros, comprobar en GIS y AQUACIS"
850,1340566,POINT (444849.1074999999 4110753.6592999995),JUEVES,JUEVES,Acometidas duplicadas: Un mismo ID de acometida tiene varios puntos geométricos asociados,"Distancia menor de 25 metros, unificar en AQUACIS"
860,1342947,POINT (444922.4550000001 4110924.4166),PARQUE 28 DE FEBRERO,PARQUE 28 DE FEBRERO,Acometidas duplicadas: Un mismo ID de acometida tiene varios puntos geométricos asociados,"Distancia menor de 25 metros, unificar en AQUACIS"
888,2965613,POINT (445266.03610000014 4110843.8498),PARQUE 28 DE FEBRERO,PARQUE 28 DE FEBRERO,Acometidas duplicadas: Un mismo ID de acometida tiene varios puntos geométricos asociados,"Distancia mayor de 25 metros, comprobar en GIS y AQUACIS"
889,3169594,POINT (444698.37959999964 4110287.066400001),SANTA TERESA,FUD-400,Sectores no definidos: El ID de sectores de contratos no existe en los sectores GIS disponibles,Crear sector en GIS y añadirlo al archivo sectores
919,1339745,POINT (444523.28220000025 4111261.4251000006),MANUEL GALERA,MANUEL GALERA,Acometidas duplicadas: Un mismo ID de acometida tiene varios puntos geométricos asociados,"Distancia menor de 25 metros, unificar en AQUACIS"
955,1341997,POINT (444771.7466000002 4111139.778000001),PARQUE 28 DE FEBRERO,PARQUE 28 DE FEBRERO,Acometidas duplicadas: Un mismo ID de acometida tiene varios puntos geométricos asociados,"Distancia menor de 25 metros, unificar en AQUACIS"
